Restaurant Name,Types of Food,Rating1,Ratings2,Price,Discount
Shree Mahalaxmi Dhaba,Chinese,,3.4,₹200 FOR TWO,
Heavenly Biryani,"Biryani, Hyderabadi, Mughlai",,3.1,₹300 FOR TWO,50% off | Use TRYNEW
VNR Fresh Juice Center,"Beverages, Desserts",,3.5,₹200 FOR TWO,40% off | Use GUILTFREE
Rayalaseema Ruchulu,"South Indian, Biryani, Rayalaseema",4.1,,₹450 FOR TWO,20% off | Use TRYNEW
Thinduda - A Telangana Kitchen,Indian,4.0,,₹299 FOR TWO,
Sri Udupi Grand,"South Indian, Chinese, Indian",4.1,,₹300 FOR TWO,
Agrawala Sweets,"Sweets, Fast Food",4.2,,₹250 FOR TWO,10% off | Use TRYNEW
A-1 Pakoda House,"Indian, Chinese, Biryani, Snacks, Haleem",4.1,,₹200 FOR TWO,
Pranav Dhaba,"Indian, Chinese",,3.9,₹200 FOR TWO,
Al Yousufain Fast Food,Indian,4.1,,₹300 FOR TWO,25% off | Use TRYNEW
Reddy Military Hotel,"South Indian, Hyderabadi, Chinese, North Indian, Andhra",,3.8,₹250 FOR TWO,
BlueFox,"Biryani, North Indian, Chinese, Tandoor",4.2,,₹800 FOR TWO,20% off | Use TRYNEW
Landmaark Family Restaurant,"North Indian, Chinese, Mughlai, Hyderabadi, Biryani, Seafood",,3.8,₹500 FOR TWO,10% off | Use TRYNEW
SVM Grand,"South Indian, North Indian, Chinese",,3.9,₹300 FOR TWO,40% off | Use TRYNEW
Krispy Kreme,"Desserts, Beverages",4.3,,₹170 FOR TWO,
Desi Kitchen,Indian,4.0,,₹200 FOR TWO,
Sri Narsing Bhelpuri & Juice Centre (Bogulkunta),"Indian, North Indian, Chaat, Italian, Beverages, Desserts, Punjabi, Snacks, Pizz...",4.2,,₹200 FOR TWO,
Sri Balaji mithai bhandar,"Sweets, Desserts, Beverages",4.1,,₹300 FOR TWO,40% off | Use GUILTFREE
Oven Story Pizza,"Pizzas, Italian",,3.7,₹400 FOR TWO,
MRCB CURRY POINT,"North Indian, Biryani, Snacks",,3.6,₹300 FOR TWO,
SRI RAGHAVENDRA TIFFINS & MEALS,South Indian,4.3,,₹280 FOR TWO,10% off | Use TRYNEW
SIRI FOOD COURT,"Chinese, Biryani",,3.5,₹200 FOR TWO,
Raj Thali,"Gujarati, Rajasthani",,3.1,₹1000 FOR TWO,
Sri Lakshmi Fast Food,"Chinese, Biryani, Snacks",,,₹400 FOR TWO,
Anupama hotel,"Biryani, South Indian",,3.5,₹250 FOR TWO,
Sri Radhe Chills and Thrills,"Italian, Juices",4.2,,₹200 FOR TWO,10% off | Use PARTY
Cake L'amore,"Bakery, Beverages, Desserts",4.1,,₹200 FOR TWO,Flat ₹125 off on orders above ₹249
Darleys ice cream,"Desserts, Ice Cream, Beverages",4.2,,₹100 FOR TWO,
The Nosh Bistro,"Continental, Pizzas",4.1,,₹250 FOR TWO,
Shawarma House,"Arabian, Snacks",,3.0,₹200 FOR TWO,
Santosh Dhaba Old,"Biryani, North Indian, Chinese",,3.6,₹300 FOR TWO,50% off | Use TRYNEW
New Max Ice Cream,"Ice Cream, Fast Food, Snacks, Chinese",4.1,,₹200 FOR TWO,
Madhur Sweets,"Sweets, Desserts, Snacks",4.5,,₹250 FOR TWO,10% off | Use TRYNEW
Jain Kitchen Pure Veg Restaurant,"North Indian, Jain, Chinese, Tandoor",4.1,,₹200 FOR TWO,10% off | Use PARTY
Mayur Pan House,"Chaat, Paan, Juices",4.1,,₹150 FOR TWO,40% off | Use GUILTFREE
Sri Balaji Family Dhaba,"Indian, Biryani",,3.8,₹300 FOR TWO,FLAT250 off | Use FLATDEAL
The mandiwala,"Arabian, North Indian",,,₹460 FOR TWO,20% off | Use TRYNEW
Lassi shop-IS Sadan Cross Road,Ice Cream,4.1,,₹100 FOR TWO,
Al Ibrahim hotel,Biryani,,3.7,₹250 FOR TWO,
Minerva Sweets,"Sweets, Desserts, Snacks, Fast Food",4.3,,₹200 FOR TWO,40% off | Use TRYNEW
Sai Charan Dhaba,"North Indian, Tandoor",4.2,,₹300 FOR TWO,15% off | Use PARTY
Dunkin',"Beverages, Fast Food, Desserts",4.1,,₹250 FOR TWO,60% off | Use SPECIALS
Grameen Kulfi,"Ice Cream, Desserts",4.7,,₹120 FOR TWO,
Al-Hamoor Arabian Restaurant,"Arabian, Desserts",,,₹600 FOR TWO,
Mandilicious,"Arabian, Indian, Chinese",,3.9,₹450 FOR TWO,
Ganesh Fast Food And Biryani Point,"Chinese, North Indian",4.0,,₹200 FOR TWO,
New grand Restaurant & bakery,"Chinese, Mughlai, Kebabs",,3.9,₹300 FOR TWO,20% off | Use TRYNEW
Al Noor Bakery,Bakery,4.2,,₹120 FOR TWO,
Al baik Shawarma & juice point,"Juices, Fast Food",4.0,,₹250 FOR TWO,50% off | Use TRYNEW
Hot Bucket Biryani,Biryani,,,₹300 FOR TWO,30% off | Use TRYNEW
Jalebi Wala,"Snacks, Sweets",4.4,,₹100 FOR TWO,
Aamantran Pure Veg,"Biryani, North Indian, Chinese, Beverages",4.2,,₹450 FOR TWO,20% off | Use TRYNEW
Subway,"Salads, Snacks, Desserts, Beverages",4.2,,₹350 FOR TWO,20% off | Use TRYNEW
SAI KIRAN FOODS,North Indian,4.3,,₹300 FOR TWO,
"AMERICAN BAKERS, BAKERS & CONFECTIONERS","Italian, Pizzas, Burgers",4.0,,₹250 FOR TWO,
Govind Dosa,South Indian,4.2,,₹250 FOR TWO,20% off | Use TRYNEW
Eagles Pizza,Pizzas,,3.6,₹150 FOR TWO,50% off | Use TRYNEW
Nazeer Juice Centre,Juices,,3.9,₹300 FOR TWO,15% off | Use TRYNEW
A.M.TIFFIN CENTRE,South Indian,,,₹110 FOR TWO,
Lucky's Multicuisine restaurant,"Biryani, Chinese, North Indian, South Indian, Tandoor, Hyderabadi, Continental, ...",,3.7,₹400 FOR TWO,50% off | Use TRYNEW
Bawarchi Express,"Biryani, Snacks, Chinese",4.5,,₹280 FOR TWO,20% off | Use TRYNEW
HOTEL SWEEKAR,South Indian,,3.9,₹80 FOR TWO,
Ghar Pakwan,"Hyderabadi, Indian",4.1,,₹300 FOR TWO,20% off | Use TRYNEW
The Joint Shawarma,Indian,,3.7,₹400 FOR TWO,
Famous Ice Cream,Ice Cream,4.2,,₹150 FOR TWO,10% off | Use TRYNEW
Wendy's Burgers,"American, Burgers, Fast Food, Beverages, Snacks",,3.8,₹200 FOR TWO,
Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",,3.5,₹600 FOR TWO,FLAT125 off | Use FLATDEAL
Break The Bread - Sandwiches And Burgers,"Continental, Fast Food",,3.4,₹200 FOR TWO,
Sultan Darbar,"Biryani, Chinese, Tandoor, North Indian, Desserts",4.1,,₹300 FOR TWO,15% off | Use TRYNEW
Sahadeva Reddy's Chaat Chowk,Chaat,4.2,,₹300 FOR TWO,20% off | Use TRYNEW
99 Pancakes,"Desserts, Beverages",,3.8,₹300 FOR TWO,
Brook Bite Brownie,Desserts,,,₹200 FOR TWO,
Imperial Multi Cuisine Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",4.1,,₹400 FOR TWO,
FB Cakes,"Bakery, Sweets, Snacks",,3.8,₹1500 FOR TWO,40% off | Use TRYNEW
Tadka - Desi Food by Papaji,"North Indian, Fast Food, Snacks, Biryani, Tandoor",4.0,,₹250 FOR TWO,30% off | Use TRYNEW
Gayathri Tiffins and Meals,South Indian,,,₹100 FOR TWO,
Ramnagar Bawarchi,"Indian, Biryani",,3.5,₹300 FOR TWO,
Riyan Hotel,"Hyderabadi, Mughlai, Biryani, Indian, Chinese",,3.7,₹300 FOR TWO,40% off | Use TRYNEW
Subway,"Salads, Snacks, Desserts, Beverages",4.2,,₹350 FOR TWO,20% off | Use TRYNEW
Sher-E-Punjab Dhaba,"Indian, Biryani",4.1,,₹350 FOR TWO,
Deccan Chef,"Haleem, Biryani, Mughlai, Chinese, Indian",4.1,,₹150 FOR TWO,Flat ₹125 off on orders above ₹249
Let's Scoop Ice Cream Cafe,"Ice Cream, Pizzas, Desserts, Bakery, Beverages",4.3,,₹200 FOR TWO,40% off | Use GUILTFREE
TASTY AND QUICK PIZZA,"Pizzas, Fast Food, Snacks",,,₹400 FOR TWO,
Swiss Castle,"Bakery, Sweets, Desserts",4.5,,₹500 FOR TWO,25% off | Use TRYNEW
Karthikeya Curry Express,"South Indian, Andhra",4.3,,₹150 FOR TWO,
Asian Meal Box,"Asian, Chinese",,3.8,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
Nrs Nandini Sudha,"South Indian, North Indian, Chinese, Juices, Beverages",4.3,,₹150 FOR TWO,20% off | Use TRYNEW
Asoka Restaurant,"Biryani, Kebabs",,3.7,₹450 FOR TWO,20% off | Use TRYNEW
Master Chef Restaurant,"North Indian, Chinese, Biryani",,3.7,₹250 FOR TWO,
Nitchal Grand Restaurant,"North Indian, Chinese, Tandoor, Biryani",4.0,,₹250 FOR TWO,
King Ghouse Restaurant,"Indian, Biryani",,3.9,₹400 FOR TWO,
Sukha Sagara North Indian & Chinese,"North Indian, Chinese",4.1,,₹300 FOR TWO,40% off | Use TRYNEW
Mahendra Fast Food Center,"Chinese, Fast Food, Indian",4.5,,₹350 FOR TWO,
Mr Showarma,"Chinese, Fast Food, Snacks",,,₹500 FOR TWO,50% off | Use TRYNEW
Sri Jyothi Raghavendra Udupi Veg,"South Indian, Ice Cream, Juices",,3.8,₹120 FOR TWO,30% off | Use TRYNEW
Stop N Eat Chicken Shawarma,Arabian,,3.9,₹200 FOR TWO,10% off | Use TRYNEW
NITAI CHAND SWEETS AND BAKERY,Sweets,,,₹300 FOR TWO,
Wahh Chaap,"Biryani, North Indian, Pastas, Italian",4.1,,₹300 FOR TWO,20% off | Use TRYNEW
Akbar Fast Food,"Indian, Seafood, Beverages",,3.5,₹300 FOR TWO,
Momo Zone - The Momo Company,"Chinese, Tibetan, Fast Food",4.0,,₹200 FOR TWO,40% off | Use TRYNEW
Rayalavari Gayatri Ruchulu,"South Indian, Chinese, Snacks, Biryani",,,₹300 FOR TWO,40% off | Use PARTY
Nrs Mamatha Darshini,"South Indian, Chinese",4.4,,₹150 FOR TWO,20% off | Use TRYNEW
LASSI SHOP HUB,"Beverages, Ice Cream, Snacks",,3.6,₹200 FOR TWO,30% off | Use TRYNEW
Y2K Restaurant,"North Indian, Chinese",,3.3,₹300 FOR TWO,30% off | Use TRYNEW
klip2deal homefood,"North Indian, Indian, Desserts",,3.1,₹200 FOR TWO,15% off | Use TRYNEW
Ramnagar Bawarchi,"Indian, Biryani",,3.5,₹300 FOR TWO,
Mini Punjab,"South Indian, North Indian, Chinese, Punjabi",,3.8,₹400 FOR TWO,30% off | Use JUMBO
Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",,3.9,₹200 FOR TWO,
Louis Burger,"Burgers, Fast Food, Beverages",4.3,,₹600 FOR TWO,Flat ₹150 off on orders above ₹799
Pista House Tea,Beverages,4.5,,₹150 FOR TWO,20% off | Use TRYNEW
Shahenshah Mandi,"Indian, Biryani, Desserts",4.0,,₹400 FOR TWO,30% off | Use TRYNEW
Moon Light Kitchen,"Biryani, Chinese, Indian, Kebabs",,,₹200 FOR TWO,50% off | Use TRYNEW
Lo! - Low Carb and Keto Foods,"Healthy Food, Keto, North Indian, Continental",4.2,,₹150 FOR TWO,40% off | Use SPECIALS
Punjabi Paratha House,"Punjabi, North Indian",4.0,,₹200 FOR TWO,40% off | Use TRYNEW
Khichdi express,North Indian,,3.9,₹250 FOR TWO,30% off | Use TRYNEW
Cafe Coffee Day,"Beverages, Snacks, Desserts",,3.9,₹300 FOR TWO,50% off | Use TRYNEW
Mithaiwala,"Sweets, Desserts, Snacks, Chaat",4.2,,₹400 FOR TWO,40% off | Use TRYNEW
FB Cakes,"Bakery, Sweets, Snacks",,3.8,₹1500 FOR TWO,40% off | Use TRYNEW
Swaad of South,"South Indian, North Indian, Chinese",4.3,,₹300 FOR TWO,15% off | Use PARTY
Agra Mithai Ghar And Restaurant,"Sweets, Beverages, Chaat, Desserts",4.1,,₹200 FOR TWO,15% off | Use TRYNEW
Coffee Cream,"Beverages, Fast Food, Italian, Snacks",4.1,,₹200 FOR TWO,
Babai Express,"Snacks, South Indian, Telangana",,3.9,₹200 FOR TWO,
Taiba's Madina Darbar,"Cafe, Snacks, Chinese, Beverages, North Indian",,3.9,₹200 FOR TWO,30% off | Use TRYNEW
Hotel Firdous,"Biryani, Continental, Tandoor",4.2,,₹200 FOR TWO,
Ohri's Eatmor,"Ice Cream, Beverages, Desserts, Chaat, Italian",4.2,,₹600 FOR TWO,10% off | Use PARTY
Al Saud Bait Al Mandi,Arabian,4.0,,₹250 FOR TWO,
Santosh Dhaba,"Biryani, North Indian, Punjabi",,3.7,₹300 FOR TWO,50% off | Use TRYNEW
Surabhi Grand,"Mughlai, North Indian, Chinese, Seafood",4.1,,₹300 FOR TWO,FLAT100 off | Use FLATDEAL
Udipi's Upahar,"South Indian, North Indian, Chinese, Snacks",4.2,,₹300 FOR TWO,10% off | Use PARTY
Patel's Delights,"Indian, Snacks, Sweets, Street Food",4.6,,₹350 FOR TWO,30% off | Use SPECIALS
Rammy Fast Food,Fast Food,,3.8,₹200 FOR TWO,10% off | Use JUMBO
Captain Cook,"Chinese, Tandoor, Salads, Arabian",,3.7,₹700 FOR TWO,FLAT100 off | Use FLATDEAL
Fruitfull,Healthy Food,4.2,,₹150 FOR TWO,20% off | Use TRYNEW
Theobroma,Desserts,4.5,,₹300 FOR TWO,
Falooda Shop,"Desserts, Beverages",,,₹300 FOR TWO,
Mandi House Arabian Restaurant,Arabian,,3.8,₹400 FOR TWO,
Cherry's Kitchen,"Arabian, Chinese, Beverages",,,₹200 FOR TWO,
SAFA MATAM AL MANDI,"Street Food, Arabian, Indian",,3.8,₹600 FOR TWO,
Sri Santosh Dhaba,"Biryani, North Indian, Chinese, Tandoor, Beverages",,3.9,₹350 FOR TWO,20% off | Use TRYNEW
Signature Juice And Grill Station,"Juices, Beverages, Fast Food, Snacks, Desserts",,,₹450 FOR TWO,
Zaika Bites,Indian,,3.6,₹300 FOR TWO,
Bombay Chowpati,"Chaat, Juices",,3.8,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Balaji Mukesh Mithai Bhandar,"Sweets, Street Food",4.3,,₹200 FOR TWO,30% off | Use TRYNEW
Lucky Multicuisine Restaurant,"Biryani, North Indian, Tandoor, South Indian",,3.7,₹350 FOR TWO,FLAT125 off | Use FLATDEAL
Lucky's Biryani House,"Biryani, Chinese, North Indian, South Indian, Tandoor, Hyderabadi, Continental, ...",,3.6,₹400 FOR TWO,50% off | Use TRYNEW
Balaji Mithai bhandar,Sweets,4.1,,₹300 FOR TWO,
Gourmet Ice Cream Cakes by Baskin Robbins,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",4.3,,₹300 FOR TWO,30% off | Use TRYNEW
Santosh Dhaba Jashan,"North Indian, Chinese, Italian",4.1,,₹300 FOR TWO,20% off | Use TRYNEW
UBQ by Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",,3.4,₹300 FOR TWO,Flat 175 off | Use FLAT175
Lavish Corner,"Chinese, Indian, Beverages, Snacks",,3.9,₹120 FOR TWO,30% off | Use TRYNEW
New York Waffles & Dinges,"Waffle, Desserts, Bakery, Beverages",,3.5,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
SALASAR CHAT AND TIFFIN CENTRE,"South Indian, Chaat, Fast Food",4.2,,₹100 FOR TWO,
65 CORNER FAST FOOD,Chinese,4.0,,₹250 FOR TWO,
Suprabath tiffins,South Indian,4.2,,₹150 FOR TWO,20% off | Use TRYNEW
Smoke & Sizzle,"Chinese, Biryani, Tandoor",4.1,,₹500 FOR TWO,25% off | Use TRYNEW
Sri Sai Veg Curry Point,"South Indian, Andhra",4.2,,₹200 FOR TWO,
Starbucks Coffee,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",4.3,,₹400 FOR TWO,40% off | Use TRYNEW
MilletBowl By UrbanKisaan,"Mexican, Healthy Food, Salads",4.1,,₹250 FOR TWO,20% off | Use TRYNEW
Polar Bear,"Ice Cream, Desserts",,3.8,₹350 FOR TWO,20% off | Use TRYNEW
Drunken Biryani,Biryani,,,₹350 FOR TWO,25% off | Use JUMBO
Sri Ruchulu,"South Indian, Beverages",4.2,,₹150 FOR TWO,20% off | Use TRYNEW
Naseeb Hotel,"Indian, Biryani",,3.5,₹200 FOR TWO,
Euphoria,"Desserts, Bakery",4.7,,₹600 FOR TWO,10% off | Use TRYNEW
Slurpy Shakes,"Beverages, Ice Cream, Desserts",4.1,,₹150 FOR TWO,FLAT125 off | Use FLATDEAL
AV's Smokebox,"Barbecue, Biryani, Chinese",4.3,,₹250 FOR TWO,20% off | Use TRYNEW
Mohini Restaurant,"Afghani, Biryani, Chinese, Mughlai, North Indian",,3.8,₹300 FOR TWO,
Sandwich Eatery,Beverages,4.0,,₹250 FOR TWO,40% off | Use GUILTFREE
LunchBox - Meals and Thalis,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.0,,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",4.1,,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
Spice 6 Global Dining,"Indian, Chinese, Arabian, Desserts, Lebanese, Biryani, North Indian",4.2,,₹900 FOR TWO,30% off | Use TRYNEW
Sri Narsing Bhelpuri and Juice,"Chaat, Italian, Juices, Fast Food",4.0,,₹200 FOR TWO,
Santosh Family Dhaba Pure Veg,"North Indian, Chinese, Biryani",,3.9,₹400 FOR TWO,40% off | Use TRYNEW
Turkish Central,"Turkish, Arabian",,3.5,₹200 FOR TWO,30% off | Use TRYNEW
Nakshatra Inn Multi Cuisine Restaurant,"Biryani, Chinese, North Indian, South Indian",,3.8,₹300 FOR TWO,20% off | Use TRYNEW
Cakes11,"Bakery, Desserts",,3.9,₹200 FOR TWO,40% off | Use GUILTFREE
HI King Bakers,"Bakery, Chinese, American",4.3,,₹300 FOR TWO,
Lassi & Falooda Co,"Beverages, Desserts, Ice Cream",,3.3,₹250 FOR TWO,FLAT125 off | Use FLATDEAL
Softy Den,Beverages,4.2,,₹150 FOR TWO,
Chung Hua Restaurant,"Chinese, Asian, Thai, Seafood, Singaporean, Malaysian",4.2,,₹300 FOR TWO,
Taiba Bakery & Cafe,"Bakery, Pizzas, Fast Food, South Indian, Beverages, Burgers",4.3,,₹300 FOR TWO,10% off | Use TRYNEW
The Matter of Batter,Desserts,4.3,,₹400 FOR TWO,
Sanjos Donuts,Desserts,,3.9,₹250 FOR TWO,FLAT100 off | Use FLATDEAL
HY-LINE,"Arabian, Biryani",,,₹400 FOR TWO,
The Kunafa Station,Arabian,,3.9,₹250 FOR TWO,30% off | Use TRYNEW
Santosh Premium Dhaba,"North Indian, Biryani, Chinese, South Indian",4.0,,₹400 FOR TWO,40% off | Use TRYNEW
URBAN TADKA-The terrace kitchen,"Chinese, Seafood",,3.8,₹500 FOR TWO,
Roll Zone,Indian,,3.9,₹300 FOR TWO,20% off | Use TRYNEW
Balaji Ram Ratan mithai Bhandar,Snacks,4.2,,₹100 FOR TWO,
50 Fruits,"Juices, Beverages",4.1,,₹150 FOR TWO,
Andhra Meal Co,Andhra,,3.4,₹200 FOR TWO,50% off on all orders
Amogh Multicuisine Restaurant,"Biryani, Chinese, Street Food",4.0,,₹350 FOR TWO,20% off | Use TRYNEW
Paratha Wala,North Indian,4.0,,₹150 FOR TWO,FLAT100 off | Use FLATDEAL
Pagal Panda,"Chinese, North Indian",,3.8,₹400 FOR TWO,50% off | Use TRYNEW
Thick shakes 24/7,Beverages,,,₹300 FOR TWO,50% off on all orders
Shahji Ka Dhaba,"North Indian, Chinese",4.2,,₹400 FOR TWO,Free Biryani Rice on orders above ₹669
Shahji Ka Dhaba,"North Indian, Chinese",4.2,,₹400 FOR TWO,Free Biryani Rice on orders above ₹669
Bench Cafe & Chinese Restaurant,"Chinese, Italian",4.3,,₹500 FOR TWO,
TEJU MESS,South Indian,4.0,,₹200 FOR TWO,
SHREE LALLA DHABA,North Indian,4.0,,₹350 FOR TWO,40% off | Use TRYNEW
Nrs Anand Tiffins,South Indian,4.0,,₹150 FOR TWO,20% off | Use TRYNEW
Parampara - Flavours of India,"North Indian, South Indian, Chinese",4.2,,₹450 FOR TWO,
The Exotic Shawarma,Arabian,4.1,,₹250 FOR TWO,
Dine Hill,"Arabian, Biryani, North Indian, Chinese",4.0,,₹400 FOR TWO,15% off | Use PARTY
Prowl Foods By Tiger Shroff,"North Indian, Continental, Chinese, Snacks, Healthy Food, Salads",,3.8,₹500 FOR TWO,Flat ₹100 off on orders above ₹399
KAPOOR'S CAFE,North Indian,4.0,,₹400 FOR TWO,
Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",,3.8,₹500 FOR TWO,40% off | Use GUILTFREE
Marathi Katta,Maharashtrian,4.2,,₹150 FOR TWO,
Hotel Brundavan Pride,"North Indian, Chinese, Biryani",4.2,,₹400 FOR TWO,
Harley's Fine Baking,"Desserts, Fast Food, Bakery, Sweets, Snacks",4.1,,₹500 FOR TWO,20% off | Use TRYNEW
Balaji sitaram mithai bhandar,"Sweets, Fast Food",4.1,,₹150 FOR TWO,
Scoops Tiffin,South Indian,4.2,,₹100 FOR TWO,
New Singh's -Veg Restaurant,"North Indian, Chinese",4.2,,₹350 FOR TWO,15% off | Use TRYNEW
Shanbhag Hotel,"North Indian, South Indian, Chinese, Biryani, Thalis, Fast Food",4.1,,₹300 FOR TWO,25% off | Use TRYNEW
Sahadeva Reddy Tiffins,South Indian,4.2,,₹150 FOR TWO,30% off | Use TRYNEW
Stop n Go,Bakery,4.2,,₹200 FOR TWO,
Papadams Restaurant,"Biryani, Chinese, Andhra, North Indian, South Indian, Tandoor",,3.8,₹500 FOR TWO,40% off | Use TRYNEW
BLAH BLAH,"Biryani, Chinese, Seafood, Lebanese",,3.1,₹500 FOR TWO,20% off | Use TRYNEW
