Restaurant Name,Types of Food,Rating1,Ratings2,Price,Discount
Dadu's Masala Republic,"Chaat, Indian, Continental, Biryani",4.0,,₹500 FOR TWO,30% off | Use TRYNEW
Crispy Hub,"American, Pizzas, Continental, Snacks, Desserts, Beverages",,3.7,₹250 FOR TWO,
SLAY Coffee,"Beverages, Desserts",4.3,,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
Cream Stone Ice Cream Cakes,"Ice Cream, Desserts",,,₹500 FOR TWO,60% off | Use TRYNEW
Dhaba Estd 1986 Delhi,Indian,4.2,,₹600 FOR TWO,11% off | Use PARTY
Combo Stories By 10D Express,"Continental, Chinese",4.0,,₹400 FOR TWO,FLAT125 off | Use FLATDEAL
Azaan Bait Al Mandi,Biryani,,3.8,₹350 FOR TWO,
The Bon Appetite,"Chinese, Indian, Kebabs, Biryani",4.2,,₹400 FOR TWO,40% off | Use TRYNEW
FISH OH FISH,"Biryani, Tandoor, Mughlai",,3.8,₹400 FOR TWO,
Maggi Point,"Snacks, Fast Food, Burgers, Beverages",,,₹150 FOR TWO,FLAT100 off | Use FLATDEAL
Manikantha Mess & Curry Point,"South Indian, Andhra",,3.3,₹200 FOR TWO,
Fantastic Four Cafe,"Italian, Fast Food, Chinese",4.1,,₹400 FOR TWO,30% off | Use TRYNEW
Chinese Corner restaurant,"Chinese, Beverages, Biryani",,,₹300 FOR TWO,
Baskin Robbins Happyness Shakes,"Beverages, Desserts",,,₹250 FOR TWO,30% off | Use TRYNEW
Waffle Studio,"Desserts, Beverages, Snacks",,3.4,₹300 FOR TWO,FLAT150 off | Use FLATDEAL
Juice Box,"Beverages, Snacks",,3.1,₹150 FOR TWO,
Amma Special Food,"Indian, South Indian",,3.8,₹100 FOR TWO,10% off | Use TRYNEW
Masala Medley,"North Indian, Chinese",4.0,,₹449 FOR TWO,
Zam Zam Arabian Mandi	,"Arabian, Barbecue, Fast Food",,,₹500 FOR TWO,60% off | Use TRYNEW
Lazeez fast food,Chinese,,3.4,₹200 FOR TWO,
New Lavish Food Court,Chinese,,3.4,₹200 FOR TWO,30% off on all orders
Cafe Victory Biryani & Kababs,"Kebabs, Snacks, Biryani",,,₹300 FOR TWO,
INSOMNIA KETCHEN,"Snacks, Bakery, Ice Cream, Beverages",,,₹330 FOR TWO,40% off | Use TRYNEW
Amma Chethi Vanta Ruchulu,"South Indian, Snacks, Beverages",,,₹100 FOR TWO,10% off | Use TRYNEW
Kadir Nurman - Bonafide Shawarma,"Arabian, Lebanese, European",4.1,,₹400 FOR TWO,30% off | Use TRYNEW
Oye Pizza,"Pizzas, Jain, Beverages",,3.7,₹250 FOR TWO,50% off | Use TRYNEW
The Daily Bowl,"North Indian, Indian",,,₹200 FOR TWO,50% off on all orders
Seeta Fruit Juice Centre,"Ice Cream, Beverages",,3.4,₹200 FOR TWO,
The Bubble Tea  Project,Beverages,,,₹260 FOR TWO,10% off | Use TRYNEW
Cremeborne - Ice Creams & dessert,"Ice Cream, Desserts, Beverages, Fast Food, Snacks",4.1,,₹350 FOR TWO,
Roasted Cream,"Pizzas, Fast Food, Burgers",,,₹400 FOR TWO,
Itabian Restro,"Arabian, Kebabs",4.4,,₹300 FOR TWO,
Wrap Up Crave by AVs Smokebox,"Lebanese, Fast Food, Snacks",,,₹400 FOR TWO,20% off | Use TRYNEW
New Akbar Fast Food,Indian,,3.5,₹300 FOR TWO,Free Akbar Special Soup on orders above ₹439
Thickshake Zone,Beverages,4.0,,₹450 FOR TWO,50% off on all orders
Binge O'Dimsum (B.O.D),"Thai, Asian, Chinese, Indian, Snacks, Japanese, Street Food, Pan-Asian, Korean, ...",4.6,,₹600 FOR TWO,40% off | Use PARTY
Naintara ( By Sri Narsingh Bhelpuri ),"North Indian, Italian-American, Fast Food, Snacks",4.2,,₹300 FOR TWO,20% off | Use TRYNEW
Sri Vigneshwara Curry Point,Indian,,,₹350 FOR TWO,FLAT250 off | Use FLATDEAL
Bikanervala,"Sweets, North Indian, Chinese, South Indian",4.3,,₹500 FOR TWO,
Sundae Everyday Ice Creams,"Beverages, Ice Cream, Desserts",,3.9,₹100 FOR TWO,FLAT125 off | Use FLATDEAL
Shree Ganesh Darshini,South Indian,,3.8,₹150 FOR TWO,
Tempteas,"Beverages, Snacks",,3.8,₹100 FOR TWO,
Darleys ice cream,"Desserts, Ice Cream, Beverages",4.2,,₹100 FOR TWO,
Scoops Tiffin,South Indian,4.2,,₹100 FOR TWO,
Qaffeine Coffee,"Beverages, Desserts, Snacks",4.0,,₹400 FOR TWO,30% off | Use TRYNEW
Shah Ghouse Cafe & Restaurant,"Biryani, Chinese, Tandoor, Mughlai, North Indian",4.1,,₹350 FOR TWO,20% off | Use TRYNEW
65 CORNER FAST FOOD,Chinese,4.0,,₹250 FOR TWO,
Momo Guy,"Tibetan, Asian, Desserts",,3.5,₹200 FOR TWO,Flat ₹125 off on orders above ₹249
Biryani Crave by AV s Smokebox,"Biryani, Tandoor",,,₹500 FOR TWO,20% off | Use TRYNEW
Mughal Restaurant,"Mughlai, Biryani, Chinese, Tandoor, North Indian",4.1,,₹400 FOR TWO,40% off | Use GUILTFREE
Class Inn,"North Indian, Chinese",,3.4,₹200 FOR TWO,
Kshetra Restaurant,"North Indian, Chinese",4.5,,₹400 FOR TWO,
Govind Dosa,South Indian,4.2,,₹250 FOR TWO,20% off | Use TRYNEW
Baker Street,"Bakery, Continental",4.2,,₹250 FOR TWO,
burrito ice cream,Ice Cream,,,₹200 FOR TWO,10% off | Use TRYNEW
Chai vaai cafe,"Chinese, Indian, Italian-American, Beverages, Burgers, Fast Food",4.2,,₹400 FOR TWO,FLAT100 off | Use FLATDEAL
CAFE ROSCA,"Pizzas, Pastas, Seafood",4.2,,₹500 FOR TWO,
Bajrang chat bhandar,Chaat,4.3,,₹150 FOR TWO,
Fullfills,"Cafe, Italian, Lebanese",,3.3,₹500 FOR TWO,
Amritsar Haveli,"North Indian, Chinese, Beverages",4.1,,₹600 FOR TWO,
Brown Bear,"Desserts, Bakery",4.2,,₹250 FOR TWO,
Cookie Man,"Desserts, Ice Cream, Bakery",,3.4,₹1000 FOR TWO,40% off | Use TRYNEW
Dr.Bubbles - Champapet,"Waffle, Desserts, Beverages",,3.5,₹300 FOR TWO,30% off | Use TRYNEW
Bombay Restaurant,"Biryani, Chinese, North Indian",4.0,,₹200 FOR TWO,
Oriental Kitchen by 10D Express,Chinese,4.2,,₹400 FOR TWO,FLAT125 off | Use FLATDEAL
Punjabi kitchen,"Punjabi, North Indian, Indian",4.0,,₹199 FOR TWO,
Aamantran Raga Sweets,"Chaat, Snacks, Bakery, Sweets",4.0,,₹200 FOR TWO,20% off | Use TRYNEW
Delhi Chat House,"Chaat, Beverages, Fast Food, Pizzas",,3.8,₹200 FOR TWO,15% off | Use JUMBO
Southern Spice,"Biryani, North Indian, South Indian, Tandoor, Chinese",4.0,,₹850 FOR TWO,
Shanbhags Chinese Food Court,"Chinese, North Indian, Snacks",4.2,,₹300 FOR TWO,
V Cafe - Meals By PVR,"Pizzas, Snacks, American",,3.6,₹400 FOR TWO,Flat ₹125 off on orders above ₹249
Prem Di Rasoi,"North Indian, Chinese",4.2,,₹250 FOR TWO,
SAHASRA  KITCHEN'S,"Chinese, Indian",,3.7,₹300 FOR TWO,
Food Field,Indian,,3.3,₹400 FOR TWO,
Cravings,Snacks,,3.8,₹250 FOR TWO,
BAGARA RICE AND CURRIES,"North Indian, Indian",,,₹200 FOR TWO,
LOW BUDGET CURRY POINT,"South Indian, Indian, Combo",,3.4,₹200 FOR TWO,
Loukya Tasty Hub,"Pizzas, Snacks, Fast Food, Desserts, Beverages",,,₹99 FOR TWO,50% off | Use TRYNEW
Tinky Restaurant & Bar	,"Indian, Seafood, Biryani",,,₹500 FOR TWO,
sri vijay vaishnavi mess,Andhra,4.2,,₹150 FOR TWO,FLAT100 off | Use FLATDEAL
Kaati Zone Rolls & Wraps,"Fast Food, Bengali, Beverages, Desserts",,3.9,₹150 FOR TWO,40% off | Use GUILTFREE
Santosh Dhaba Estd 1990,"North Indian, Chinese, Biryani",,3.3,₹400 FOR TWO,40% off | Use GUILTFREE
Bombay Chowpati,"Chaat, Juices",,3.8,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Thali-Punjab-Di,"North Indian, Biryani, Tandoor, Thalis",,,₹250 FOR TWO,
Forbes cafe& Restaurant,Chinese,,,₹400 FOR TWO,
Jashwanth Tiffin Center,South Indian,4.0,,₹250 FOR TWO,15% off | Use TRYNEW
Crazy Shawarma,"Lebanese, Snacks",,,₹300 FOR TWO,
MURABI,"Ice Cream, Juices, Beverages, Desserts, Sweets",,,₹100 FOR TWO,20% off | Use TRYNEW
Silver Salt,"Hyderabadi, Biryani, North Indian",,3.9,₹1000 FOR TWO,10% off | Use PARTY
NANI CAKES,"Bakery, Desserts",,,₹500 FOR TWO,30% off | Use TRYNEW
Aromas of Asia,"Chinese, Thai, Asian",,3.7,₹1000 FOR TWO,
Sri Vathsala Urban Mandi & Family Restaurant,"Chinese, Indian",,,₹800 FOR TWO,
Firangi Bake,"Italian, Mexican, Pastas, Ice Cream",,3.8,₹400 FOR TWO,50% off | Use GUILTFREE
Balaji dhaba,"North Indian, Biryani, Chinese, Indian, Tandoor",,3.8,₹400 FOR TWO,40% off | Use GUILTFREE
New Agra Sweets,"Sweets, Desserts",4.1,,₹150 FOR TWO,
Falooda Shop,"Desserts, Beverages",,,₹300 FOR TWO,
Mana Inti Ruchulu,Indian,,,₹200 FOR TWO,
Winners Pizza (Fresh Dough),"Pizzas, Italian, Desserts, Beverages",4.0,,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
House of Milkshakes,"Beverages, Fast Food, Burgers, Snacks, Pizzas",,,₹300 FOR TWO,
New MayaBazar,Indian,,3.8,₹200 FOR TWO,
Ofen,"European, Italian, Continental, Desserts",4.2,,₹300 FOR TWO,10% off | Use TRYNEW
Bake Zone Bakery&Lounge,Desserts,,3.7,₹300 FOR TWO,
Sahib Sindh Sultan,North Indian,4.2,,₹1000 FOR TWO,
BAGARA BOWL,Indian,,3.3,₹500 FOR TWO,
The Platinum Hotel-Clove,"North Indian, South Indian, Continental, Chinese",4.2,,₹800 FOR TWO,
Vamshis Noodles House,Chinese,,,₹160 FOR TWO,
Karachi Cafe,"Indian, Beverages",4.0,,₹500 FOR TWO,20% off | Use TRYNEW
D 4 DONUT,"Desserts, Beverages",4.0,,₹249 FOR TWO,20% off | Use TRYNEW
Aashirvad Tiffins,"South Indian, Chinese, Snacks, Juices",4.2,,₹200 FOR TWO,
Mughlai Homely Kitchen	,Indian,,,₹399 FOR TWO,FLAT250 off | Use FLATDEAL
Jain Jalsa,"Chinese, Fast Food, Indian",4.2,,₹400 FOR TWO,10% off | Use PARTY
Apnaa Nukkad,"Chinese, Desserts",,3.7,₹300 FOR TWO,30% off | Use TRYNEW
Sofra restaurent,"Biryani, Kebabs, Grill",4.3,,₹599 FOR TWO,
Ciro's Pizzeria,"Italian, Pastas, Pizzas",4.0,,₹600 FOR TWO,
Eat Italy,"Italian, American, Pastas, Pizzas",4.0,,₹400 FOR TWO,40% off | Use GUILTFREE
OKRA - Marriott,"Indian, Chinese, Italian",,3.9,₹1000 FOR TWO,
Wack Waffles & Brownies,"Waffle, Desserts, Beverages",,3.5,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
ATH - All Things Healthy!,"Healthy Food, Indian, Keto, Snacks, Bakery, North Indian",4.2,,₹200 FOR TWO,40% off | Use SPECIALS
Fruit Wagon,"Beverages, Salads",4.2,,₹150 FOR TWO,
Bangkok169,"Asian, Chinese, Combo",,3.7,₹200 FOR TWO,20% off | Use PARTY
DOSTEA,Beverages,4.4,,₹300 FOR TWO,
Sai Suruchi Grand Family Restaurant,"North Indian, Biryani, Chinese",,,₹350 FOR TWO,10% off | Use TRYNEW
Sarvi Bakery,"Desserts, Bakery",4.1,,₹250 FOR TWO,
Flying Kombucha,"Healthy Food, Juices, Beverages",,,₹200 FOR TWO,
Terra Cakes,Bakery,,3.1,₹100 FOR TWO,60% off | Use TRYNEW
Khichdi Paradise,"North Indian, Healthy Food, Desserts, Beverages",4.6,,₹250 FOR TWO,Flat ₹125 off on orders above ₹249
The Board Game Cafe,"Indian, Chinese",4.0,,₹500 FOR TWO,
Oven Spring Cake,Bakery,4.7,,₹200 FOR TWO,
Veg Daawat by Behrouz,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",,,₹500 FOR TWO,FLAT125 off | Use FLATDEAL
DiabeSmart,"North Indian, Snacks, Healthy Food",4.2,,₹300 FOR TWO,40% off | Use SPECIALS
PapaCream,"Ice Cream, Desserts",4.1,,₹200 FOR TWO,20% off | Use PARTY
Sitara Foods,"Sweets, Desserts, Andhra, Snacks",4.1,,₹410 FOR TWO,
Maa ki khichdi,"North Indian, Healthy Food, Desserts, Beverages",,3.4,₹250 FOR TWO,Flat ₹125 off on orders above ₹249
Iceberg Organic Icecreams,"Ice Cream, Beverages, Juices, Desserts",4.1,,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Healing Rice Bowls,"Indian, Gujarati, Healthy Food",,3.5,₹250 FOR TWO,FLAT125 off | Use FLATDEAL
Barista Coffee,"Beverages, Snacks",,3.2,₹350 FOR TWO,Flat ₹150 off on orders above ₹499
The Pizza Hub,Italian,,3.0,₹200 FOR TWO,
Lasani Restaurant,"Mughlai, Chinese, Snacks, Seafood",,,₹2 FOR TWO,
"Giani's (From Delhi Chandni Chowk ,Since 1956)","Ice Cream, Desserts",4.0,,₹250 FOR TWO,40% off | Use TRYNEW
Italian Express,"Italian, Mongolian, Jain",,3.5,₹350 FOR TWO,
Ruchi food court ,"Indian, Seafood",4.2,,₹200 FOR TWO,
Pizza And Burgers,"Pizzas, Beverages, Continental, Snacks, Desserts, American",,3.3,₹300 FOR TWO,
RAMADEVI CURRY POINT & MESS,"Biryani, South Indian",,3.4,₹100 FOR TWO,
Fried Chicken By Kilo	,"Burgers, Pastas, Desserts",,,₹450 FOR TWO,30% off | Use TRYNEW
Hotel Rajdhani,"North Indian, South Indian, Biryani, Tandoor",,3.7,₹500 FOR TWO,
Hotel Abinand Grand,"Chinese, Biryani, North Indian, South Indian, Tandoor",4.4,,₹800 FOR TWO,
Hotel Azizia,"North Indian, Biryani, Chinese",,3.7,₹300 FOR TWO,
Dadu's - D'Creme,"Ice Cream, Desserts",,,₹300 FOR TWO,30% off | Use TRYNEW
ContiMental,"Pizzas, Fast Food, Burgers",,,₹400 FOR TWO,30% off | Use TRYNEW
"Oki Poki - Sushi, Dimsums & More","Chinese, Asian, Pan-Asian, Thai, Oriental",,,₹1200 FOR TWO,60% off | Use TRYNEW
Samtrupthi Foods,South Indian,,,₹300 FOR TWO,
Food Street,"Chinese, Indian, North Indian, Andhra",,3.5,₹250 FOR TWO,
Balaji Papalal Mithaiwala,"Sweets, Desserts",4.1,,₹200 FOR TWO,
Bhagya lakshmi dhaba,North Indian,,,₹200 FOR TWO,
Palace Heights,"Indian, Chinese",4.0,,₹1700 FOR TWO,
The Golkonda Kitchen,"Indian, Chinese",4.1,,₹1200 FOR TWO,
NEW SHAHI NAAN,Indian,4.7,,₹49 FOR TWO,
Urvasi Hotel,"North Indian, Andhra, Chinese",4.2,,₹450 FOR TWO,
The Gallery Cafe,"Beverages, Continental",,,₹500 FOR TWO,
Gabru Di Chaap,"Fast Food, North Indian",,3.8,₹300 FOR TWO,
Meetnparifoods,"Italian, Continental",,3.5,₹300 FOR TWO,
Chat Corner,"Chaat, Snacks",,3.8,₹150 FOR TWO,
Balaji Mukesh Mithai Bhandar,"Sweets, Street Food",4.3,,₹200 FOR TWO,30% off | Use TRYNEW
Shawarma Buzz,Arabian,,,₹300 FOR TWO,
TCS THE CHEESE CAKE STORY,"Bakery, Desserts",4.1,,₹200 FOR TWO,
Saara Veg,"North Indian, Punjabi, Indian, Fast Food, Chaat, Tandoor, Beverages, Chinese, De...",4.1,,₹400 FOR TWO,20% off | Use TRYNEW
Te - A Tea Tradition,"Beverages, Snacks",4.2,,₹150 FOR TWO,
Waffle House,"Cafe, Desserts, Beverages",,3.8,₹400 FOR TWO,
Punjabi Chaap Corner,"Punjabi, Snacks, Chinese",4.0,,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Ice N Spice (Hotel Inner Circle),"Indian, Chinese, Tandoor, South Indian",,3.8,₹450 FOR TWO,
Kekiz Cake Shop,"Bakery, Desserts",,3.7,₹100 FOR TWO,
Trio-La Patisserie,"Bakery, Desserts",,,₹300 FOR TWO,
True Chinese,Chinese,,,₹250 FOR TWO,
Cake & Desserts - Eclair De Cake,"Bakery, Desserts",4.1,,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
Santosh Dhaba The Original,Chinese,,3.5,₹250 FOR TWO,20% off | Use TRYNEW
Kouzina Kafe - The Food Court,"Bakery, Desserts, Ice Cream, Beverages",4.1,,₹150 FOR TWO,40% off | Use TRYNEW
Milano Bakers,"Bakery, Pizzas, Burgers, Snacks",,,₹400 FOR TWO,
SAFA MATAM AL MANDI,"Street Food, Arabian, Indian",,3.8,₹600 FOR TWO,
Indulge Ice cream By Almond House,"Bakery, Desserts, Beverages",,,₹300 FOR TWO,10% off | Use TRYNEW
 Cozy Corner by Aamantran,"Continental, Chinese, North Indian, South Indian, Beverages",,,₹550 FOR TWO,30% off | Use TRYNEW
Jai Durga maa apna taste,North Indian,4.4,,₹200 FOR TWO,10% off | Use TRYNEW
MADHU RUCHI PURE VEG RESTAURANT,"Chinese, Indian",,3.8,₹400 FOR TWO,
MADHU RUCHI PURE VEG RESTAURANT,"Chinese, Indian",,3.8,₹400 FOR TWO,
Saleem Stores The Pan Parlour,"Paan, Beverages",4.3,,₹150 FOR TWO,10% off | Use TRYNEW
SRI RAMI REDDY PURE GHEE SWEETS,"Continental, Sweets, Indian",4.5,,₹500 FOR TWO,
simply punjab,"North Indian, Indian, Biryani",,,₹200 FOR TWO,
Barfi Delite,"Indian, Continental, Fast Food, Pizzas, Chaat",4.1,,₹350 FOR TWO,
Bakers Bay,"Bakery, Snacks",,3.7,₹150 FOR TWO,
SEVEN HILLS BAKERY,"Bakery, Fast Food, Pizzas, Snacks",,,₹300 FOR TWO,
Magic Pancakes,"Desserts, Bakery, Beverages",,3.3,₹250 FOR TWO,Flat ₹125 off on orders above ₹249
Punjabi Paratha castle,Punjabi,,3.6,₹150 FOR TWO,
RASOI PURE VEG DHABA,"North Indian, Chinese, Beverages",,3.8,₹300 FOR TWO,30% off | Use TRYNEW
Reblon Pizza,"Pizzas, Beverages",5.0,,₹200 FOR TWO,
Sri Purna s kitchen,"Tandoor, Indian, Biryani, Chinese",,3.9,₹300 FOR TWO,20% off | Use TRYNEW
Sharma Ji Pav Bhaji and Fast Food,"Chinese, Biryani",,3.7,₹200 FOR TWO,
Pioneer Bakes,"Bakery, Desserts",,,₹200 FOR TWO,
China Box'd,"Snacks, Chinese",,,₹200 FOR TWO,50% off | Use TRYNEW
Sher-E-Punjab Dhaba,"Indian, Biryani",4.1,,₹350 FOR TWO,
Cakes By Ofen,"Bakery, Desserts",,,₹500 FOR TWO,
SRI RAGHAVENDRA UDIPI,"South Indian, Fast Food, Chinese",,,₹350 FOR TWO,
Balaji Hukmichand Mithai Bhandar,"Sweets, Snacks",,3.9,₹400 FOR TWO,15% off | Use TRYNEW
Srinivasa Bakery,"Bakery, Desserts, Pizzas, Snacks",,3.4,₹200 FOR TWO,
By The Bay,"Indian, Asian, Italian, European",4.4,,₹1200 FOR TWO,
Italian Affair,Chinese,4.2,,₹200 FOR TWO,
hotdog king,"Fast Food, Snacks, Biryani, Beverages",,,₹250 FOR TWO,
China Town,"Chinese, Fast Food",,,₹200 FOR TWO,
The Burger Dudes,"Beverages, Snacks, Chinese, South Indian",,,₹250 FOR TWO,30% off | Use TRYNEW
JUICE & SANDWICH POINT,"Juices, Snacks",4.0,,₹200 FOR TWO,
Hangout Food Court,"North Indian, Chinese",,,₹260 FOR TWO,
GRAND RESTAURANT,"Sweets, Biryani, Kebabs",,,₹500 FOR TWO,50% off | Use TRYNEW
Balaji Vishnu Sweet House,Sweets,,3.8,₹150 FOR TWO,
Panda Momos,"Tibetan, Asian, Beverages, Chinese",,3.8,₹200 FOR TWO,Flat ₹125 off on orders above ₹249
Fusion Biryani,"Biryani, Desserts",4.1,,₹250 FOR TWO,50% off on all orders
PACHADLU VS KAARALU,"South Indian, Indian, Andhra, Telangana, Beverages",4.1,,₹500 FOR TWO,10% off | Use TRYNEW
walima Ki Dawat,"Biryani, Hyderabadi, Mughlai",,,₹700 FOR TWO,
Toran Sweets Bakers Cafe',"Italian-American, Fast Food, Chinese, Snacks",,,₹400 FOR TWO,30% off | Use TRYNEW
B V Grand,"Pizzas, Fast Food, Indian",,,₹200 FOR TWO,
Sahadeva Reddy Pure Ghee Sweets,Sweets,4.3,,₹400 FOR TWO,20% off | Use TRYNEW
Euro Bakers,"Pizzas, Burgers, Bakery, Fast Food",,3.5,₹200 FOR TWO,10% off | Use TRYNEW
NEW Babar Bakery,"Bakery, Snacks",,,₹300 FOR TWO,
KHAANSAAB EXPRESS,"Mughlai, Indian, Biryani, Kebabs",4.4,,₹450 FOR TWO,
Narayan Upahaar,"Indian, Chinese",,,₹500 FOR TWO,
Naimat Delight,"Indian, Desserts",,3.7,₹240 FOR TWO,50% off | Use TRYNEW
Shouqeen - E - Lazeez Kitchen,Chinese,4.0,,₹250 FOR TWO,10% off | Use TRYNEW
My Unique Shop	,"Bakery, Snacks",,,₹60 FOR TWO,
AMMI'S ZAIQA,"Fast Food, Biryani, Arabian, Indian, Desserts, Beverages",,,₹400 FOR TWO,
Absolute Froot,Beverages,,3.5,₹150 FOR TWO,
Rehman Bakery,"Fast Food, Desserts",,,₹200 FOR TWO,
Pizza Pub,"Pizzas, Italian, European, Beverages",,,₹400 FOR TWO,
Bakers Kitchen,"Desserts, Pastas",,3.4,₹200 FOR TWO,40% off | Use TRYNEW
Bakers Kitchen,"Desserts, Pastas",,3.4,₹200 FOR TWO,40% off | Use TRYNEW
Agra mithai vatika,"Sweets, South Indian, Chaat, Beverages",,3.5,₹150 FOR TWO,
The Daily Meal,Indian,,,₹200 FOR TWO,50% off on all orders
OYE BURGER MONKS ,"Continental, Snacks",4.3,,₹250 FOR TWO,30% off | Use TRYNEW
